Number	Alias	IVIS	Stats	Math	Art	User	Prog	Graphic	HCI	UX
1	Aldor	7	3	3	9	6	2	1	4	8
2	Aragorn	5	4	3	6	7	3	1	4	8
3	Arwen	3	3	3	3	8	8	3	3	3
4	Balin	3	4	4	6	8	2	1	2	7
5	Bereg	3	5	6	8	6	3	5	3	5
6	Bifur	4	4	5	6	10	7	7	6	7
7	Bilbo	6	5	8	7	8	7	7	7	8
8	Bofur	4	4	6	5	7	7	3	3	2
9	Bombadil	4	6	6	2	6	5	1	5	8
10	Bombur	1	4	5	10	7	4	2	3	6
11	Borin	2	4	2	6	6	2	1	4	10
12	Boromir	3	5	5	1	7	8	2	6	5
13	Bounder	3	9	9	3	10	10	3	3	9
14	Celeborn	7	6	5	6	8	4	1	6	7
15	Damrod	3	2	5	6	7	1	2	3	8
16	Deagol	1	3	3	5	8	5	1	1	2
17	Denethor	7	8	6	2	8	9	6	3	6
18	Dorlas	4	4	4	6	5	4	1	5	6
19	Dwalin	3	3	6	7	7	6	1	5	5
20	Eldarion	3	4	9	8	8	3	2	8	9
21	Elendil	5	3	5	6	7	7	4	6	5
22	Elendur	3	3	5	2	7	5	2	6	9
23	Elrond	3	10	8	1	6	9	4	3	3
24	Eomer	7	9	7	3	9	8	7	6	1
25	Eothain	5	5	7	4	9	9	8	4	3
26	Eowyn	2	4	4	4	4	2	6	4	4
27	Faramir	5	4	8	7	9	8	5	6	6
28	Ferny	5	2	3	4	8	5	3	4	1
29	Fili	5	5	5	4	5	5	4	5	5
30	Freda	3	3	9	7	7	2	2	3	8
31	Frodo	3	3	4	4	6	5	3	4	3
32	Galadriel	7	5	6	7	9	8	7	8	5
33	Gamgee	2	4	6	2	7	6	2	4	3
34	Gandalf	4	6	8	1	9	8	6	5	5
35	Gimli	3	3	4	9	7	1	1	1	1
36	Gollum	4	2	2	4	9	1	1	1	6
37	Gorbag	5	2	5	5	9	7	3	6	3
38	Grimbold	4	4	7	5	9	6	1	1	4
39	Grishnakh	5	8	6	2	7	8	5	4	3
40	Haldir	3	3	4	7	8	2	1	2	2
41	Haleth	2	3	3	4	6	3	1	4	5
42	Hama	7	8	8	7	9	8	8	7	8
43	Hardang	2	4	7	9	7	2	2	3	8
44	Idril	6	3	3	8	10	5	3	5	5
45	Irolas	5	4	5	2	7	7	4	6	5
46	Isildur	4	5	5	4	8	8	3	5	5
47	Kili	3	5	5	1	6	6	3	5	8
48	Legolas	4	4	4	7	8	8	4	4	4
49	Lindir	2	2	5	2	7	4	1	4	4
50	Lurtz	3	6	7	6	8	8	3	4	5
51	Madril	4	4	5	4	9	5	2	7	5
52	Maiar	6	5	5	7	7	4	2	5	6
53	Mauhur	7	2	5	8	9	6	2	6	7
54	Merry	5	6	7	8	7	6	4	4	8
55	Morwen	3	5	4	3	10	6	2	7	5
56	Nessa	1	1	1	2	2	1	1	1	2
57	Ohtar	2	2	1	3	4	4	1	2	2
58	Oin	7	5	8	5	8	9	7	9	7
59	Otho	6	3	4	6	10	7	5	9	7
60	Pelendur	2	5	4	3	4	5	4	4	1
61	Pippin	7	2	2	8	10	7	2	5	2
62	Quickbeam	3	3	5	8	8	2	3	3	3
63	Rian	3	5	5	2	8	5	3	4	4
64	Sam	6	3	5	9	8	4	4	4	9
65	Sauron	3	9	7	2	9	6	5	3	3
66	Shagrat	3	3	5	6	7	2	1	1	4
67	Sharku	2	7	5	4	6	1	1	1	8
68	Smaug	7	4	4	6	10	8	5	7	6
69	Smeagol	3	3	5	7	9	3	2	3	8
70	Theoden	3	5	8	1	9	2	1	1	3
71	Theodred	4	8	8	5	9	7	9	8	4
72	Thorin	7	6	7	2	10	8	6	7	7
73	Ugluk	4	3	5	5	8	6	4	4	2
74	Uruk	5	8	7	7	9	9	8	7	7
